source_id,series_id,event_time,available_at,observed_value,piecewise_partition_value,residual_lag_1,regime_flag
fixture-source,probabilistic-calibrated-series,2026-02-23T00:00:00Z,2026-02-23T06:00:00Z,84.700000,0.1,1.100000,stable
fixture-source,probabilistic-calibrated-series,2026-02-24T00:00:00Z,2026-02-24T06:00:00Z,86.100000,0.2,-1.100000,volatile
fixture-source,probabilistic-calibrated-series,2026-02-25T00:00:00Z,2026-02-25T06:00:00Z,88.000000,0.3,-0.600000,stable
fixture-source,probabilistic-calibrated-series,2026-02-26T00:00:00Z,2026-02-26T06:00:00Z,90.400000,0.4,-0.100000,volatile
fixture-source,probabilistic-calibrated-series,2026-02-27T00:00:00Z,2026-02-27T06:00:00Z,93.300000,0.5,0.400000,stable
fixture-source,probabilistic-calibrated-series,2026-02-28T00:00:00Z,2026-02-28T06:00:00Z,96.700000,0.6,0.900000,volatile
fixture-source,probabilistic-calibrated-series,2026-03-01T00:00:00Z,2026-03-01T06:00:00Z,97.300000,0.0,1.400000,stable
fixture-source,probabilistic-calibrated-series,2026-03-02T00:00:00Z,2026-03-02T06:00:00Z,98.400000,0.1,-1.400000,volatile
fixture-source,probabilistic-calibrated-series,2026-03-03T00:00:00Z,2026-03-03T06:00:00Z,100.000000,0.2,-0.900000,stable
fixture-source,probabilistic-calibrated-series,2026-03-04T00:00:00Z,2026-03-04T06:00:00Z,102.100000,0.3,-0.400000,volatile
fixture-source,probabilistic-calibrated-series,2026-03-05T00:00:00Z,2026-03-05T06:00:00Z,104.700000,0.4,0.100000,stable
fixture-source,probabilistic-calibrated-series,2026-03-06T00:00:00Z,2026-03-06T06:00:00Z,107.800000,0.5,0.600000,volatile
fixture-source,probabilistic-calibrated-series,2026-03-07T00:00:00Z,2026-03-07T06:00:00Z,108.600000,0.6,1.100000,stable
fixture-source,probabilistic-calibrated-series,2026-03-08T00:00:00Z,2026-03-08T06:00:00Z,109.900000,0.0,-1.200000,volatile
fixture-source,probabilistic-calibrated-series,2026-03-09T00:00:00Z,2026-03-09T06:00:00Z,111.700000,0.1,-0.700000,stable
fixture-source,probabilistic-calibrated-series,2026-03-10T00:00:00Z,2026-03-10T06:00:00Z,114.000000,0.2,-0.200000,volatile
fixture-source,probabilistic-calibrated-series,2026-03-11T00:00:00Z,2026-03-11T06:00:00Z,116.800000,0.3,0.300000,stable
fixture-source,probabilistic-calibrated-series,2026-03-12T00:00:00Z,2026-03-12T06:00:00Z,120.100000,0.4,0.800000,volatile
fixture-source,probabilistic-calibrated-series,2026-03-13T00:00:00Z,2026-03-13T06:00:00Z,121.100000,0.5,1.300000,stable
fixture-source,probabilistic-calibrated-series,2026-03-14T00:00:00Z,2026-03-14T06:00:00Z,122.600000,0.6,-1.000000,volatile
fixture-source,probabilistic-calibrated-series,2026-03-15T00:00:00Z,2026-03-15T06:00:00Z,124.600000,0.0,-0.500000,stable
fixture-source,probabilistic-calibrated-series,2026-03-16T00:00:00Z,2026-03-16T06:00:00Z,127.100000,0.1,0.000000,volatile
fixture-source,probabilistic-calibrated-series,2026-03-17T00:00:00Z,2026-03-17T06:00:00Z,130.100000,0.2,0.500000,stable
fixture-source,probabilistic-calibrated-series,2026-03-18T00:00:00Z,2026-03-18T06:00:00Z,130.800000,0.3,1.000000,volatile
fixture-source,probabilistic-calibrated-series,2026-03-19T00:00:00Z,2026-03-19T06:00:00Z,132.000000,0.4,-1.300000,stable
fixture-source,probabilistic-calibrated-series,2026-03-20T00:00:00Z,2026-03-20T06:00:00Z,133.700000,0.5,-0.800000,volatile
fixture-source,probabilistic-calibrated-series,2026-03-21T00:00:00Z,2026-03-21T06:00:00Z,135.900000,0.6,-0.300000,stable
fixture-source,probabilistic-calibrated-series,2026-03-22T00:00:00Z,2026-03-22T06:00:00Z,138.600000,0.0,0.200000,volatile
